Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Loctite Super Glue Power Gel","Sticking 3d printed parts",1,4.00,"https://www.amazon.in/Loctite-Flexible-Superglue-Non-Drip-Applications/dp/B001C42J9I?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AJ6SIZC8YQDZX","AMAZON"
"3D Printing Material (PLA/ABS)","Material for printing parts,PLA/ABS filament",1,4.00,"https://almightyfila.com/product/pla-3d-printing-filament/?attribute_pa_color=jet-black&gad_source=1&gad_campaignid=23065668704&gclid=Cj0KCQjwkYLPBhC3ARIsAIyHi3TPDwYTKXxnokXKs_NUUQCYdXT16Xxzr1qCSVxxntce0-UYXmcqJ_aodkoq39Fv2E6f","ALMIGHTY FILA"
"Screws & Fasteners","Assembly components,M2/M3 screws",6,0.50,"https://robu.in/product/easymech-ss-304-csk-countersunk-philips-head-m2-5-x-6-mm-bolt-25-pcs-2/","ROBU"
"Nylon thread","Tendon Mechanism",1,2.00,"https://www.meesho.com/ultra-thin-strong-bright-nylon-high-tensile-strength-bright-2-ply-thread-for-beading-jewellery-and-crafts-making-nylon-2-pcs-black-5002-1000-meter/p/d7rp99","MEESHO"
"Elastic Thread 2mm","High strength elastic For Tendon Pullback",1,1.00,"https://www.meesho.com/elastic-band-cord-2mm-10-meter-white-for-bracelet-hair-ribbon-craft-creation/p/ajn526?utm_source=google&utm_medium=cpc&utm_term=gmc&srsltid=AfmBOoqAhUwH3AM5oPk7cSWArLTIo1N3bRbVvDZRThsT5lxNs-lj-mxiwnM","MEESHO"
"Breadboard","Prototyping board,Standard 400 points",1,0.50,"https://robocraze.com/products/half-breadboard?_pos=1&_sid=c3c51781a&_ss=r","ROBOCRAZE"
"Jumper Wires(M-M & M-F)","Electrical connections",20,0.50,"https://robocraze.com/products/f2m-jumper-wires-20cm-40pcs?_pos=1&_sid=5ad6b34f4&_ss=r","ROBOCRAZE"
"3.7V 2900mAh 18650 Battery","Power supply for system",2,3.00,"https://robocraze.com/products/3-7v-2900mah-18650-battery?_pos=14&_sid=14c477bae&_ss=r","ROBOCRAZE"
"HC-05 Bluetooth Module","Wireless communication module",1,2.50,"https://robocraze.com/products/hc-05-bluetooth-module?variant=40193264189593&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOops6WICjwLXuMiH-vwvdgdteLGcc0ZeWd4FL_Il-mSRAh1MncksAJQ","ROBOCRAZE"
"Arduino UNO R3","Microcontroller board",1,19.00,"https://robocraze.com/products/arduino-uno-original?variant=40192399442073&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooyTS3Btr99Npwglf0K8b1y9rfYjO-bCxV2oHqDExIN7xRFxw3OOaU","ROBOCRAZE"
"Servo Motor (SG90/MG90S)","Micro Servo for finger actuation,180° rotation",5,5.00,"https://robocraze.com/products/sg90-micro-servo-motor?variant=40192525238425&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoo8dp23w_YxjCFzXf8UCKBipElKiegzhfGcMpOA4uCgTD3uZ2Fpyfw","ROBOCRAZE"
